ImgPath,Class
./CIFAR_10_BATCH1/Img_0.png,6
./CIFAR_10_BATCH1/Img_1.png,9
./CIFAR_10_BATCH1/Img_2.png,9
./CIFAR_10_BATCH1/Img_3.png,4
./CIFAR_10_BATCH1/Img_4.png,1
./CIFAR_10_BATCH1/Img_5.png,1
./CIFAR_10_BATCH1/Img_6.png,2
./CIFAR_10_BATCH1/Img_7.png,7
./CIFAR_10_BATCH1/Img_8.png,8
./CIFAR_10_BATCH1/Img_9.png,3
./CIFAR_10_BATCH1/Img_10.png,4
./CIFAR_10_BATCH1/Img_11.png,7
./CIFAR_10_BATCH1/Img_12.png,7
./CIFAR_10_BATCH1/Img_13.png,2
./CIFAR_10_BATCH1/Img_14.png,9
./CIFAR_10_BATCH1/Img_15.png,9
./CIFAR_10_BATCH1/Img_16.png,9
./CIFAR_10_BATCH1/Img_17.png,3
./CIFAR_10_BATCH1/Img_18.png,2
./CIFAR_10_BATCH1/Img_19.png,6
./CIFAR_10_BATCH1/Img_20.png,4
./CIFAR_10_BATCH1/Img_21.png,3
./CIFAR_10_BATCH1/Img_22.png,6
./CIFAR_10_BATCH1/Img_23.png,6
./CIFAR_10_BATCH1/Img_24.png,2
./CIFAR_10_BATCH1/Img_25.png,6
./CIFAR_10_BATCH1/Img_26.png,3
./CIFAR_10_BATCH1/Img_27.png,5
./CIFAR_10_BATCH1/Img_28.png,4
./CIFAR_10_BATCH1/Img_29.png,0
./CIFAR_10_BATCH1/Img_30.png,0
./CIFAR_10_BATCH1/Img_31.png,9
./CIFAR_10_BATCH1/Img_32.png,1
./CIFAR_10_BATCH1/Img_33.png,3
./CIFAR_10_BATCH1/Img_34.png,4
./CIFAR_10_BATCH1/Img_35.png,0
./CIFAR_10_BATCH1/Img_36.png,3
./CIFAR_10_BATCH1/Img_37.png,7
./CIFAR_10_BATCH1/Img_38.png,3
./CIFAR_10_BATCH1/Img_39.png,3
./CIFAR_10_BATCH1/Img_40.png,5
./CIFAR_10_BATCH1/Img_41.png,2
./CIFAR_10_BATCH1/Img_42.png,2
./CIFAR_10_BATCH1/Img_43.png,7
./CIFAR_10_BATCH1/Img_44.png,1
./CIFAR_10_BATCH1/Img_45.png,1
./CIFAR_10_BATCH1/Img_46.png,1
./CIFAR_10_BATCH1/Img_47.png,2
./CIFAR_10_BATCH1/Img_48.png,2
./CIFAR_10_BATCH1/Img_49.png,0
./CIFAR_10_BATCH1/Img_50.png,9
./CIFAR_10_BATCH1/Img_51.png,5
